domain,bias_score,factually_questionable_flag,propaganda_flag,conspiracy_flag,hate_group_flag,satire_flag
100percentfedup.com,3,1,1,0,0,0
1010wins.radio.com,0,0,0,0,0,0
10news.one,3,1,0,0,1,0
12minutos.com,NaN,1,0,0,0,0
12news.com,0,0,0,0,0,0
180report.com,0,0,0,0,0,0
21stcenturywire.com,NaN,1,0,1,0,0
24ur.com,0,0,0,0,0,0
24wpn.com,3,1,0,0,0,0
2ndvote.com,2,0,0,0,0,0
369news.net,NaN,1,0,1,0,0
38north.org,0,0,0,0,0,0
3ccorp.net,3,1,0,0,0,0
680news.com,0,0,0,0,0,0
71republic.com,1,0,0,0,0,0
7news.com.au,1,0,0,0,0,0
911truth.org,3,1,0,1,0,0
972mag.com,-1,0,0,0,0,0
9news.com,0,0,0,0,0,0
9news.com.au,1,0,0,0,0,0
a1apac.org,2,0,0,0,0,0
aa.com.tr,3,0,1,0,0,0
aaas.org,0,0,0,0,0,0
aap.org,0,0,0,0,0,0
aawsat.com,1,0,0,0,0,0
abc.net.au,-1,0,0,0,0,0
abc11.com,-1,0,0,0,0,0
abc12.com,0,0,0,0,0,0
abcbusinessnews.com,3,1,0,0,0,0
abcnews.go.com,-1,0,0,0,0,0
abeldanger.org,3,1,0,1,0,0
abort73.com,2,0,0,0,0,0
abovethelaw.com,-1,0,0,0,0,0
abovetopsecret.com,3,1,0,1,0,0
abqjournal.com,1,0,0,0,0,0
ac2news.com,1,0,0,0,0,0
academia.org,2,0,0,0,0,0
aceflashman.wordpress.com,NaN,0,0,0,0,1
aceshowbiz.com,-1,0,0,0,0,0
achnews.org,-2,0,0,0,0,0
aclj.org,2,0,0,0,0,0
aclu.org,-1,0,0,0,0,0
acpeds.org,3,1,0,0,1,0
acsh.org,1,0,0,0,0,0
act.tv,-2,0,0,0,0,0
acting-man.com,2,0,0,0,0,0
actionnews3.com,NaN,1,0,0,0,0
activistmommy.com,3,1,0,0,0,0
activistpost.com,-3,1,0,1,0,0
adaa.org,0,0,0,0,0,0
adelaidenow.com.au,2,0,0,0,0,0
adflegal.org,3,1,0,0,1,0
adfontesmedia.com,0,0,0,0,0,0
adl.org,-1,0,0,0,0,0
adn.com,-1,0,0,0,0,0
adobochronicles.com,NaN,0,0,0,0,1
advocate.com,-2,0,0,0,0,0
adweek.com,0,0,0,0,0,0
ae911truth.org,NaN,1,0,1,0,0
aei.org,2,0,0,0,0,0
aeon.co,-1,0,0,0,0,0
afa.net,3,1,0,0,1,0
affinitymagazine.us,-1,0,0,0,0,0
afj.org,-2,0,0,0,0,0
afp.com,0,0,0,0,0,0
afpc.org,2,0,0,0,0,0
afr.com,1,0,0,0,0,0
africacheck.org,0,0,0,0,0,0
africanarguments.org,-1,0,0,0,0,0
africanews.com,0,0,0,0,0,0
africanexponent.com,-3,1,0,0,0,0
aftonbladet.se,-2,0,0,0,0,0
ageofautism.com,NaN,1,0,1,0,0
agerpres.ro,0,0,0,0,0,0
agweb.com,0,0,0,0,0,0
ahtribune.com,3,1,0,1,0,0
ahvalnews.com,-1,0,0,0,0,0
aidc.org.za,-2,0,0,0,0,0
aier.org,1,0,0,0,0,0
aim.org,2,0,0,0,0,0
aim4truth.org,3,1,0,1,0,0
aina.org,2,0,0,0,0,0
aip.org,0,0,0,0,0,0
airforcetimes.com,0,0,0,0,0,0
airspacemag.com,0,0,0,0,0,0
airwars.org,0,0,0,0,0,0
ajaonline.org,0,0,0,0,0,0
ajc.com,-1,0,0,0,0,0
ajph.aphapublications.org,0,0,0,0,0,0
ajplus.net,-2,0,0,0,0,0
ajuanews.com,3,1,0,0,0,0
al-monitor.com,-1,0,0,0,0,0
al-sura.com,-1,0,0,0,0,0
al.com,1,0,0,0,0,0
alaraby.co.uk,-1,0,0,0,0,0
albawaba.com,3,1,1,0,0,0
albertaviews.ca,-1,0,0,0,0,0
aldianews.com,-2,0,0,0,0,0
alec.org,2,0,0,0,0,0
aleteia.org,1,0,0,0,0,0
algemeiner.com,1,0,0,0,0,0
alhayat.com,-1,0,0,0,0,0
aljazeera.com,-1,0,0,0,0,0
allafrica.com,0,0,0,0,0,0
allgov.com,-1,0,0,0,0,0
allianceforadvancedhealth.com,NaN,1,0,1,0,0
allianceforscience.cornell.edu,0,0,0,0,0,0
alliedprogress.org,-1,0,0,0,0,0
allnewspipeline.com,3,1,1,0,0,0
almasdarnews.com,-1,0,0,0,0,0
alphanewsmn.com,3,1,0,0,0,0
alreporter.com,0,0,0,0,0,0
alternative-science.com,NaN,0,0,0,0,1
alternativelyfacts.com,NaN,0,0,0,0,1
alternativenews.com,3,1,0,1,0,0
alternet.org,-2,0,0,0,0,0
althealthworks.com,NaN,1,0,1,0,0
altnews.in,-2,0,0,0,0,0
altnewsmedia.net,2,0,0,0,0,0
altoday.com,0,0,0,0,0,0
altright.com,3,1,0,0,1,0
amac.us,2,0,0,0,0,0
amarillo.com,0,0,0,0,0,0
america.cgtn.com,-3,1,1,0,0,0
americablog.com,-2,0,0,0,0,0
americadaily.com,3,1,0,0,0,0
americamagazine.org,-1,0,0,0,0,0
americanactionforum.org,1,0,0,0,0,0
americanactionnews.com,3,1,0,0,0,0
americanaffairsjournal.org,1,0,0,0,0,0
americanbridgepac.org,-2,0,0,0,0,0
americanconsequences.com,2,0,0,0,0,0
americanconservativemedia.com,3,1,0,0,0,0
americandigitalnews.com,3,1,0,1,0,0
americanfirearms.org,1,0,0,0,0,0
americanfreepress.net,3,1,0,1,1,0
americanheritage.com,0,0,0,0,0,0
americanimmigrationcouncil.org,-1,0,0,0,0,0
americanindependent.com,-2,0,0,0,0,0
americanjournalreview.com,3,1,0,0,0,0
